,Team,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 2P,Opp 2PA,Opp 2P%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,gameid,Win?
1661,wake-forest,200,24,39,0.615,16,25,0.64,8,14,0.571,25,32,0.781,5,22,27,12,5,0,16,20,81,25,51,0.49,12,25,0.48,13,26,0.5,12,22,0.545,9,14,23,14,8,0,11,23,75,1124201756,0
1662,southern-methodist,200,25,56,0.446,17,38,0.447,8,18,0.444,3,6,0.5,11,26,37,16,8,7,20,12,61,25,55,0.455,19,37,0.514,6,18,0.333,7,12,0.583,6,18,24,13,11,4,13,11,63,1124201757,1
1663,western-kentucky,200,25,55,0.455,19,37,0.514,6,18,0.333,7,12,0.583,6,18,24,13,11,4,13,11,63,25,56,0.446,17,38,0.447,8,18,0.444,3,6,0.5,11,26,37,16,8,7,20,12,61,1124201757,0
1664,gardner-webb,200,15,51,0.294,10,32,0.313,5,19,0.263,12,17,0.706,6,20,26,7,7,1,22,28,47,21,45,0.467,17,33,0.515,4,12,0.333,21,34,0.618,6,29,35,13,10,0,19,18,67,1124201758,1
1665,wright-state,200,21,45,0.467,17,33,0.515,4,12,0.333,21,34,0.618,6,29,35,13,10,0,19,18,67,15,51,0.294,10,32,0.313,5,19,0.263,12,17,0.706,6,20,26,7,7,1,22,28,47,1124201758,0
1666,fontbonne,200,15,48,0.313,8,29,0.276,7,19,0.368,7,9,0.778,11,13,24,12,1,0,18,16,44,38,62,0.613,29,41,0.707,9,21,0.429,11,21,0.524,14,22,36,26,9,8,4,13,96,1124201759,1
1667,eastern-illinois,200,38,62,0.613,29,41,0.707,9,21,0.429,11,21,0.524,14,22,36,26,9,8,4,13,96,15,48,0.313,8,29,0.276,7,19,0.368,7,9,0.778,11,13,24,12,1,0,18,16,44,1124201759,0
1668,citadel,200,26,78,0.333,13,40,0.325,13,38,0.342,13,21,0.619,15,20,35,17,8,2,16,18,78,42,80,0.525,28,42,0.667,14,38,0.368,15,22,0.682,15,33,48,23,7,10,14,20,113,1124201760,1
1669,florida-state,200,42,80,0.525,28,42,0.667,14,38,0.368,15,22,0.682,15,33,48,23,7,10,14,20,113,26,78,0.333,13,40,0.325,13,38,0.342,13,21,0.619,15,20,35,17,8,2,16,18,78,1124201760,0
1670,oakland,200,23,70,0.329,17,40,0.425,6,30,0.2,7,7,1,7,22,29,10,6,4,20,18,59,39,70,0.557,33,54,0.611,6,16,0.375,18,23,0.783,9,35,44,14,14,9,12,11,102,1124201761,1
1671,kansas,200,39,70,0.557,33,54,0.611,6,16,0.375,18,23,0.783,9,35,44,14,14,9,12,11,102,23,70,0.329,17,40,0.425,6,30,0.2,7,7,1,7,22,29,10,6,4,20,18,59,1124201761,0
1672,george-washington,200,22,54,0.407,17,37,0.459,5,17,0.294,10,14,0.714,12,20,32,15,3,0,11,16,59,23,49,0.469,18,32,0.563,5,17,0.294,16,18,0.889,7,15,22,8,5,5,5,13,67,1124201762,1
1673,kansas-state,200,23,49,0.469,18,32,0.563,5,17,0.294,16,18,0.889,7,15,22,8,5,5,5,13,67,22,54,0.407,17,37,0.459,5,17,0.294,10,14,0.714,12,20,32,15,3,0,11,16,59,1124201762,0
1674,evangel,200,20,63,0.317,16,44,0.364,4,19,0.211,4,7,0.571,5,20,25,10,7,4,12,13,48,33,66,0.5,25,46,0.543,8,20,0.4,6,12,0.5,12,37,49,18,9,9,11,11,80,1124201763,1
1675,missouri-state,200,33,66,0.5,25,46,0.543,8,20,0.4,6,12,0.5,12,37,49,18,9,9,11,11,80,20,63,0.317,16,44,0.364,4,19,0.211,4,7,0.571,5,20,25,10,7,4,12,13,48,1124201763,0
1676,sacred-heart,200,18,42,0.429,14,26,0.538,4,16,0.25,10,21,0.476,5,22,27,16,5,0,21,20,50,27,57,0.474,18,30,0.6,9,27,0.333,18,21,0.857,7,21,28,19,9,2,10,15,81,1124201764,1
1677,northwestern,200,27,57,0.474,18,30,0.6,9,27,0.333,18,21,0.857,7,21,28,19,9,2,10,15,81,18,42,0.429,14,26,0.538,4,16,0.25,10,21,0.476,5,22,27,16,5,0,21,20,50,1124201764,0
1678,texas-am-corpus-christi,200,19,47,0.404,12,37,0.324,7,10,0.7,13,25,0.52,8,17,25,9,8,1,25,20,58,25,47,0.532,16,24,0.667,9,23,0.391,13,20,0.65,8,22,30,17,13,4,23,22,72,1124201765,1
1679,texas-san-antonio,200,25,47,0.532,16,24,0.667,9,23,0.391,13,20,0.65,8,22,30,17,13,4,23,22,72,19,47,0.404,12,37,0.324,7,10,0.7,13,25,0.52,8,17,25,9,8,1,25,20,58,1124201765,0
1680,eastern-washington,200,26,66,0.394,21,39,0.538,5,27,0.185,12,18,0.667,6,23,29,11,9,3,8,19,69,30,58,0.517,21,32,0.656,9,26,0.346,16,20,0.8,4,33,37,17,5,3,13,14,85,1124201766,1
1681,utah,200,30,58,0.517,21,32,0.656,9,26,0.346,16,20,0.8,4,33,37,17,5,3,13,14,85,26,66,0.394,21,39,0.538,5,27,0.185,12,18,0.667,6,23,29,11,9,3,8,19,69,1124201766,0
1682,cal-poly,200,20,59,0.339,13,33,0.394,7,26,0.269,6,10,0.6,11,27,38,13,1,2,10,16,53,19,53,0.358,15,35,0.429,4,18,0.222,14,17,0.824,5,25,30,11,4,3,6,16,56,1124201767,1
1683,central-michigan,200,19,53,0.358,15,35,0.429,4,18,0.222,14,17,0.824,5,25,30,11,4,3,6,16,56,20,59,0.339,13,33,0.394,7,26,0.269,6,10,0.6,11,27,38,13,1,2,10,16,53,1124201767,0
1684,northwestern-state,200,21,56,0.375,14,31,0.452,7,25,0.28,11,15,0.733,8,16,24,10,8,4,18,19,60,26,58,0.448,21,41,0.512,5,17,0.294,15,22,0.682,11,26,37,14,10,3,15,12,72,1124201768,1
1685,colorado-state,200,26,58,0.448,21,41,0.512,5,17,0.294,15,22,0.682,11,26,37,14,10,3,15,12,72,21,56,0.375,14,31,0.452,7,25,0.28,11,15,0.733,8,16,24,10,8,4,18,19,60,1124201768,0
1686,oregon,225,28,62,0.452,13,23,0.565,15,39,0.385,18,21,0.857,9,26,35,17,7,5,15,22,89,28,66,0.424,24,47,0.511,4,19,0.211,19,20,0.95,8,21,29,8,3,1,14,20,79,1124201769,0
1687,depaul,225,28,66,0.424,24,47,0.511,4,19,0.211,19,20,0.95,8,21,29,8,3,1,14,20,79,28,62,0.452,13,23,0.565,15,39,0.385,18,21,0.857,9,26,35,17,7,5,15,22,89,1124201769,1
1688,st-bonaventure,200,21,55,0.382,21,48,0.438,0,7,0,21,25,0.84,8,17,25,7,12,2,9,22,63,19,45,0.422,14,22,0.636,5,23,0.217,18,23,0.783,8,22,30,11,5,6,20,19,61,1124201770,0
1689,maryland,200,19,45,0.422,14,22,0.636,5,23,0.217,18,23,0.783,8,22,30,11,5,6,20,19,61,21,55,0.382,21,48,0.438,0,7,0,21,25,0.84,8,17,25,7,12,2,9,22,63,1124201770,1
1690,youngstown-state,200,27,64,0.422,23,50,0.46,4,14,0.286,9,23,0.391,10,23,33,11,4,3,16,20,67,30,56,0.536,23,35,0.657,7,21,0.333,13,24,0.542,5,27,32,17,4,6,15,20,80,1124201771,1
1691,northern-colorado,200,30,56,0.536,23,35,0.657,7,21,0.333,13,24,0.542,5,27,32,17,4,6,15,20,80,27,64,0.422,23,50,0.46,4,14,0.286,9,23,0.391,10,23,33,11,4,3,16,20,67,1124201771,0
1692,stanford,200,22,61,0.361,16,40,0.4,6,21,0.286,21,30,0.7,7,21,28,11,6,4,13,25,71,25,61,0.41,16,40,0.4,9,21,0.429,20,25,0.8,11,26,37,13,3,3,14,25,79,1124201772,1
1693,ohio-state,200,25,61,0.41,16,40,0.4,9,21,0.429,20,25,0.8,11,26,37,13,3,3,14,25,79,22,61,0.361,16,40,0.4,6,21,0.286,21,30,0.7,7,21,28,11,6,4,13,25,71,1124201772,0
1694,arkansas-pine-bluff,200,23,62,0.371,14,26,0.538,9,36,0.25,14,21,0.667,7,20,27,13,9,7,14,31,69,20,53,0.377,18,42,0.429,2,11,0.182,36,46,0.783,14,32,46,12,7,1,20,20,78,1124201773,1
1695,pacific,200,20,53,0.377,18,42,0.429,2,11,0.182,36,46,0.783,14,32,46,12,7,1,20,20,78,23,62,0.371,14,26,0.538,9,36,0.25,14,21,0.667,7,20,27,13,9,7,14,31,69,1124201773,0
1696,arizona,200,25,59,0.424,22,42,0.524,3,17,0.176,11,16,0.688,6,16,22,13,4,3,11,20,64,31,54,0.574,20,32,0.625,11,22,0.5,16,21,0.762,6,26,32,19,6,7,14,19,89,1124201774,1
1697,purdue,200,31,54,0.574,20,32,0.625,11,22,0.5,16,21,0.762,6,26,32,19,6,7,14,19,89,25,59,0.424,22,42,0.524,3,17,0.176,11,16,0.688,6,16,22,13,4,3,11,20,64,1124201774,0
1698,cal-state-fullerton,200,22,42,0.524,18,33,0.545,4,9,0.444,20,23,0.87,3,27,30,15,6,5,16,15,68,26,64,0.406,19,42,0.452,7,22,0.318,4,7,0.571,8,20,28,19,4,1,12,18,63,1124201775,0
1699,sacramento-state,200,26,64,0.406,19,42,0.452,7,22,0.318,4,7,0.571,8,20,28,19,4,1,12,18,63,22,42,0.524,18,33,0.545,4,9,0.444,20,23,0.87,3,27,30,15,6,5,16,15,68,1124201775,1
1700,vanderbilt,200,19,56,0.339,14,32,0.438,5,24,0.208,16,18,0.889,9,28,37,7,2,2,14,24,59,27,58,0.466,23,40,0.575,4,18,0.222,14,24,0.583,7,25,32,10,4,5,8,16,72,1124201776,1
1701,seton-hall,200,27,58,0.466,23,40,0.575,4,18,0.222,14,24,0.583,7,25,32,10,4,5,8,16,72,19,56,0.339,14,32,0.438,5,24,0.208,16,18,0.889,9,28,37,7,2,2,14,24,59,1124201776,0
1702,pepperdine,200,24,62,0.387,20,43,0.465,4,19,0.211,13,24,0.542,14,20,34,17,6,1,12,15,65,29,62,0.468,20,36,0.556,9,26,0.346,14,22,0.636,11,30,41,25,6,11,12,21,81,1124201777,1
1703,texas-am,200,29,62,0.468,20,36,0.556,9,26,0.346,14,22,0.636,11,30,41,25,6,11,12,21,81,24,62,0.387,20,43,0.465,4,19,0.211,13,24,0.542,14,20,34,17,6,1,12,15,65,1124201777,0
1704,milwaukee,200,23,51,0.451,22,40,0.55,1,11,0.091,2,8,0.25,6,18,24,3,5,2,8,18,49,27,54,0.5,17,35,0.486,10,19,0.526,7,10,0.7,12,25,37,14,3,2,9,14,71,1124201778,1
1705,wisconsin,200,27,54,0.5,17,35,0.486,10,19,0.526,7,10,0.7,12,25,37,14,3,2,9,14,71,23,51,0.451,22,40,0.55,1,11,0.091,2,8,0.25,6,18,24,3,5,2,8,18,49,1124201778,0
1706,prairie-view,200,25,65,0.385,19,42,0.452,6,23,0.261,10,21,0.476,11,26,37,10,10,4,6,24,66,23,49,0.469,16,28,0.571,7,21,0.333,16,29,0.552,9,30,39,15,1,6,16,21,69,1124201779,1
1707,california-santa-barbara,200,23,49,0.469,16,28,0.571,7,21,0.333,16,29,0.552,9,30,39,15,1,6,16,21,69,25,65,0.385,19,42,0.452,6,23,0.261,10,21,0.476,11,26,37,10,10,4,6,24,66,1124201779,0
1708,hampton,200,31,67,0.463,26,50,0.52,5,17,0.294,13,16,0.813,9,25,34,15,4,4,13,23,80,32,62,0.516,23,42,0.548,9,20,0.45,21,29,0.724,10,22,32,16,8,4,10,18,94,1124201780,1
1709,rider,200,32,62,0.516,23,42,0.548,9,20,0.45,21,29,0.724,10,22,32,16,8,4,10,18,94,31,67,0.463,26,50,0.52,5,17,0.294,13,16,0.813,9,25,34,15,4,4,13,23,80,1124201780,0
1710,idaho,200,22,54,0.407,12,30,0.4,10,24,0.417,8,12,0.667,5,27,32,21,0,3,8,18,62,23,58,0.397,17,40,0.425,6,18,0.333,12,19,0.632,9,25,34,16,3,3,4,14,64,1124201781,1
1711,cal-state-bakersfield,200,23,58,0.397,17,40,0.425,6,18,0.333,12,19,0.632,9,25,34,16,3,3,4,14,64,22,54,0.407,12,30,0.4,10,24,0.417,8,12,0.667,5,27,32,21,0,3,8,18,62,1124201781,0
1712,texas-state,200,20,50,0.4,14,32,0.438,6,18,0.333,16,23,0.696,11,22,33,9,6,1,16,14,62,25,50,0.5,20,30,0.667,5,20,0.25,13,18,0.722,5,19,24,13,9,3,13,20,68,1124201782,1
1713,canisius,200,25,50,0.5,20,30,0.667,5,20,0.25,13,18,0.722,5,19,24,13,9,3,13,20,68,20,50,0.4,14,32,0.438,6,18,0.333,16,23,0.696,11,22,33,9,6,1,16,14,62,1124201782,0
1714,florida,250,33,72,0.458,16,36,0.444,17,36,0.472,28,35,0.8,9,26,35,22,5,4,12,21,111,38,79,0.481,28,48,0.583,10,31,0.323,19,25,0.76,12,27,39,17,6,6,14,23,105,1124201783,0
1715,gonzaga,250,38,79,0.481,28,48,0.583,10,31,0.323,19,25,0.76,12,27,39,17,6,6,14,23,105,33,72,0.458,16,36,0.444,17,36,0.472,28,35,0.8,9,26,35,22,5,4,12,21,111,1124201783,1
1716,connecticut,200,20,57,0.351,13,35,0.371,7,22,0.318,10,11,0.909,7,21,28,6,4,5,13,14,57,32,66,0.485,24,48,0.5,8,18,0.444,5,10,0.5,11,27,38,12,3,4,8,16,77,112520171,1
1717,michigan-state,200,32,66,0.485,24,48,0.5,8,18,0.444,5,10,0.5,11,27,38,12,3,4,8,16,77,20,57,0.351,13,35,0.371,7,22,0.318,10,11,0.909,7,21,28,6,4,5,13,14,57,112520171,0
1718,nevada,200,22,50,0.44,17,33,0.515,5,17,0.294,18,29,0.621,6,27,33,8,7,5,11,23,67,20,52,0.385,17,36,0.472,3,16,0.188,11,21,0.524,6,27,33,9,4,3,17,21,54,112520172,0
1719,hawaii,200,20,52,0.385,17,36,0.472,3,16,0.188,11,21,0.524,6,27,33,9,4,3,17,21,54,22,50,0.44,17,33,0.515,5,17,0.294,18,29,0.621,6,27,33,8,7,5,11,23,67,112520172,1
1720,jackson-state,225,30,67,0.448,25,51,0.49,5,16,0.313,10,11,0.909,8,19,27,7,11,1,10,20,75,26,50,0.52,15,23,0.652,11,27,0.407,10,17,0.588,6,20,26,14,3,4,18,16,73,112520173,0
1721,nebraska-omaha,225,26,50,0.52,15,23,0.652,11,27,0.407,10,17,0.588,6,20,26,14,3,4,18,16,73,30,67,0.448,25,51,0.49,5,16,0.313,10,11,0.909,8,19,27,7,11,1,10,20,75,112520173,1
1722,central-arkansas,200,24,64,0.375,19,45,0.422,5,19,0.263,19,28,0.679,18,21,39,12,6,6,17,23,72,31,57,0.544,19,34,0.559,12,23,0.522,18,28,0.643,8,25,33,16,4,3,14,25,92,112520174,1
1723,tulsa,200,31,57,0.544,19,34,0.559,12,23,0.522,18,28,0.643,8,25,33,16,4,3,14,25,92,24,64,0.375,19,45,0.422,5,19,0.263,19,28,0.679,18,21,39,12,6,6,17,23,72,112520174,0
1724,long-island-university,200,29,65,0.446,21,39,0.538,8,26,0.308,20,28,0.714,9,19,28,11,13,5,19,32,86,30,54,0.556,27,38,0.711,3,16,0.188,31,41,0.756,8,31,39,18,7,0,24,27,94,112520175,1
1725,brown,201,30,54,0.556,27,38,0.711,3,16,0.188,31,41,0.756,8,31,39,18,7,0,24,27,94,29,65,0.446,21,39,0.538,8,26,0.308,20,28,0.714,9,19,28,11,13,5,19,32,86,112520175,0
1726,albany-ny,200,31,58,0.534,21,37,0.568,10,21,0.476,6,10,0.6,8,21,29,18,5,1,7,15,78,24,48,0.5,19,30,0.633,5,18,0.278,9,14,0.643,3,15,18,11,3,4,9,14,62,112520176,0
1727,holy-cross,200,24,48,0.5,19,30,0.633,5,18,0.278,9,14,0.643,3,15,18,11,3,4,9,14,62,31,58,0.534,21,37,0.568,10,21,0.476,6,10,0.6,8,21,29,18,5,1,7,15,78,112520176,1
1728,ball-state,200,29,47,0.617,18,28,0.643,11,19,0.579,24,30,0.8,3,29,32,15,3,2,21,21,93,32,68,0.471,22,43,0.512,10,25,0.4,11,16,0.688,7,18,25,15,11,3,11,26,85,112520177,0
1729,indiana-state,200,32,68,0.471,22,43,0.512,10,25,0.4,11,16,0.688,7,18,25,15,11,3,11,26,85,29,47,0.617,18,28,0.643,11,19,0.579,24,30,0.8,3,29,32,15,3,2,21,21,93,112520177,1
1730,utah-state,200,27,58,0.466,20,37,0.541,7,21,0.333,16,20,0.8,8,23,31,16,7,0,9,13,77,22,54,0.407,12,29,0.414,10,25,0.4,9,10,0.9,7,23,30,14,4,1,14,17,63,112520178,0
1731,new-hampshire,200,22,54,0.407,12,29,0.414,10,25,0.4,9,10,0.9,7,23,30,14,4,1,14,17,63,27,58,0.466,20,37,0.541,7,21,0.333,16,20,0.8,8,23,31,16,7,0,9,13,77,112520178,1
1732,maryland-eastern-shore,200,21,60,0.35,13,34,0.382,8,26,0.308,10,19,0.526,9,21,30,8,5,3,11,12,60,31,61,0.508,16,31,0.516,15,30,0.5,13,15,0.867,9,32,41,20,6,1,12,21,90,112520179,1
1733,tennessee-tech,200,31,61,0.508,16,31,0.516,15,30,0.5,13,15,0.867,9,32,41,20,6,1,12,21,90,21,60,0.35,13,34,0.382,8,26,0.308,10,19,0.526,9,21,30,8,5,3,11,12,60,112520179,0
1734,morehead-state,200,26,60,0.433,22,43,0.512,4,17,0.235,7,14,0.5,8,20,28,12,2,3,19,20,63,31,54,0.574,21,31,0.677,10,23,0.435,24,27,0.889,2,27,29,20,5,3,14,17,96,1125201710,1
1735,virginia-tech,200,31,54,0.574,21,31,0.677,10,23,0.435,24,27,0.889,2,27,29,20,5,3,14,17,96,26,60,0.433,22,43,0.512,4,17,0.235,7,14,0.5,8,20,28,12,2,3,19,20,63,1125201710,0
1736,georgia-southern,200,19,66,0.288,15,39,0.385,4,27,0.148,15,23,0.652,15,24,39,6,6,2,13,29,57,19,56,0.339,14,34,0.412,5,22,0.227,19,36,0.528,19,33,52,9,1,6,16,19,62,1125201711,1
1737,bradley,200,19,56,0.339,14,34,0.412,5,22,0.227,19,36,0.528,19,33,52,9,1,6,16,19,62,19,66,0.288,15,39,0.385,4,27,0.148,15,23,0.652,15,24,39,6,6,2,13,29,57,1125201711,0
1738,bowling-green-state,200,26,60,0.433,18,41,0.439,8,19,0.421,18,20,0.9,8,28,36,13,6,2,11,16,78,25,55,0.455,17,33,0.515,8,22,0.364,14,17,0.824,4,20,24,11,6,7,9,19,72,1125201712,0
1739,campbell,200,25,55,0.455,17,33,0.515,8,22,0.364,14,17,0.824,4,20,24,11,6,7,9,19,72,26,60,0.433,18,41,0.439,8,19,0.421,18,20,0.9,8,28,36,13,6,2,11,16,78,1125201712,1
1740,columbia,200,25,61,0.41,15,32,0.469,10,29,0.345,11,12,0.917,12,25,37,14,7,3,12,14,71,26,58,0.448,10,21,0.476,16,37,0.432,9,12,0.75,9,24,33,18,8,2,11,15,77,1125201713,1
1741,colgate,200,26,58,0.448,10,21,0.476,16,37,0.432,9,12,0.75,9,24,33,18,8,2,11,15,77,25,61,0.41,15,32,0.469,10,29,0.345,11,12,0.917,12,25,37,14,7,3,12,14,71,1125201713,0
1742,siena-heights,200,21,63,0.333,18,48,0.375,3,15,0.2,24,29,0.828,11,22,33,15,8,6,33,14,69,51,86,0.593,34,58,0.586,17,28,0.607,12,19,0.632,12,29,41,36,25,7,15,23,131,1125201714,1
1743,detroit-mercy,200,51,86,0.593,34,58,0.586,17,28,0.607,12,19,0.632,12,29,41,36,25,7,15,23,131,21,63,0.333,18,48,0.375,3,15,0.2,24,29,0.828,11,22,33,15,8,6,33,14,69,1125201714,0
1744,gardner-webb,200,24,49,0.49,16,27,0.593,8,22,0.364,8,11,0.727,5,27,32,14,3,0,19,18,64,26,60,0.433,17,34,0.5,9,26,0.346,14,20,0.7,9,19,28,19,9,2,11,14,75,1125201715,1
1745,fairfield,200,26,60,0.433,17,34,0.5,9,26,0.346,14,20,0.7,9,19,28,19,9,2,11,14,75,24,49,0.49,16,27,0.593,8,22,0.364,8,11,0.727,5,27,32,14,3,0,19,18,64,1125201715,0
1746,toccoa-falls,200,19,52,0.365,12,35,0.343,7,17,0.412,5,6,0.833,2,18,20,12,5,0,21,16,50,36,65,0.554,25,46,0.543,11,19,0.579,13,21,0.619,16,29,45,24,14,6,15,10,96,1125201716,1
1747,liberty,200,36,65,0.554,25,46,0.543,11,19,0.579,13,21,0.619,16,29,45,24,14,6,15,10,96,19,52,0.365,12,35,0.343,7,17,0.412,5,6,0.833,2,18,20,12,5,0,21,16,50,1125201716,0
1748,brigham-young,200,24,66,0.364,20,48,0.417,4,18,0.222,16,20,0.8,13,22,35,17,10,6,10,19,68,23,52,0.442,18,38,0.474,5,14,0.357,15,20,0.75,4,24,28,15,4,8,14,18,66,1125201717,0
1749,massachusetts,200,23,52,0.442,18,38,0.474,5,14,0.357,15,20,0.75,4,24,28,15,4,8,14,18,66,24,66,0.364,20,48,0.417,4,18,0.222,16,20,0.8,13,22,35,17,10,6,10,19,68,1125201717,1
1750,southeastern-louisiana,200,27,57,0.474,21,35,0.6,6,22,0.273,13,22,0.591,12,19,31,18,6,2,9,18,73,21,48,0.438,17,34,0.5,4,14,0.286,13,17,0.765,8,20,28,11,3,3,16,22,59,1125201718,0
1751,mississippi-valley-state,200,21,48,0.438,17,34,0.5,4,14,0.286,13,17,0.765,8,20,28,11,3,3,16,22,59,27,57,0.474,21,35,0.6,6,22,0.273,13,22,0.591,12,19,31,18,6,2,9,18,73,1125201718,1
1752,lehigh,200,25,59,0.424,16,36,0.444,9,23,0.391,9,11,0.818,3,24,27,18,3,3,10,20,68,26,51,0.51,16,24,0.667,10,27,0.37,18,21,0.857,2,30,32,21,5,3,11,15,80,1125201719,1
1753,pittsburgh,200,26,51,0.51,16,24,0.667,10,27,0.37,18,21,0.857,2,30,32,21,5,3,11,15,80,25,59,0.424,16,36,0.444,9,23,0.391,9,11,0.818,3,24,27,18,3,3,10,20,68,1125201719,0
1754,hofstra,200,25,68,0.368,16,34,0.471,9,34,0.265,17,26,0.654,18,13,31,13,3,1,6,19,76,30,51,0.588,20,34,0.588,10,17,0.588,15,23,0.652,9,25,34,22,3,3,11,19,85,1125201720,1
1755,siena,200,30,51,0.588,20,34,0.588,10,17,0.588,15,23,0.652,9,25,34,22,3,3,11,19,85,25,68,0.368,16,34,0.471,9,34,0.265,17,26,0.654,18,13,31,13,3,1,6,19,76,1125201720,0
1756,northwood-mi,200,21,64,0.328,15,37,0.405,6,27,0.222,11,16,0.688,10,17,27,9,3,2,11,13,59,35,64,0.547,31,47,0.66,4,17,0.235,14,16,0.875,10,31,41,14,5,7,10,14,88,1125201721,1
1757,western-michigan,200,35,64,0.547,31,47,0.66,4,17,0.235,14,16,0.875,10,31,41,14,5,7,10,14,88,21,64,0.328,15,37,0.405,6,27,0.222,11,16,0.688,10,17,27,9,3,2,11,13,59,1125201721,0
1758,vermont,200,27,57,0.474,20,40,0.5,7,17,0.412,18,26,0.692,7,22,29,19,4,2,9,15,79,26,56,0.464,16,25,0.64,10,31,0.323,11,17,0.647,2,23,25,17,7,3,14,25,73,1125201722,0
1759,yale,200,26,56,0.464,16,25,0.64,10,31,0.323,11,17,0.647,2,23,25,17,7,3,14,25,73,27,57,0.474,20,40,0.5,7,17,0.412,18,26,0.692,7,22,29,19,4,2,9,15,79,1125201722,1
1760,utah-valley,225,30,64,0.469,24,46,0.522,6,18,0.333,17,24,0.708,9,37,46,10,5,8,18,17,83,30,87,0.345,24,55,0.436,6,32,0.188,9,14,0.643,14,27,41,9,13,0,10,21,75,1125201723,0
1761,north-dakota,225,30,87,0.345,24,55,0.436,6,32,0.188,9,14,0.643,14,27,41,9,13,0,10,21,75,30,64,0.469,24,46,0.522,6,18,0.333,17,24,0.708,9,37,46,10,5,8,18,17,83,1125201723,1
1762,furman,200,31,63,0.492,25,45,0.556,6,18,0.333,10,14,0.714,13,21,34,13,6,2,8,16,78,26,53,0.491,21,34,0.618,5,19,0.263,10,17,0.588,7,19,26,12,3,4,12,14,67,1125201724,0
1763,northeastern,200,26,53,0.491,21,34,0.618,5,19,0.263,10,17,0.588,7,19,26,12,3,4,12,14,67,31,63,0.492,25,45,0.556,6,18,0.333,10,14,0.714,13,21,34,13,6,2,8,16,78,1125201724,1
1764,savannah-state,200,23,64,0.359,13,23,0.565,10,41,0.244,13,19,0.684,8,15,23,11,5,2,16,19,69,39,74,0.527,31,49,0.633,8,25,0.32,17,21,0.81,17,28,45,30,10,4,11,14,103,1125201725,1
1765,texas-tech,200,39,74,0.527,31,49,0.633,8,25,0.32,17,21,0.81,17,28,45,30,10,4,11,14,103,23,64,0.359,13,23,0.565,10,41,0.244,13,19,0.684,8,15,23,11,5,2,16,19,69,1125201725,0
1766,virginia-military-institute,200,24,56,0.429,21,37,0.568,3,19,0.158,13,20,0.65,11,24,35,9,8,2,15,24,64,23,46,0.5,16,26,0.615,7,20,0.35,16,24,0.667,3,24,27,13,6,3,12,20,69,1125201726,1
1767,american,200,23,46,0.5,16,26,0.615,7,20,0.35,16,24,0.667,3,24,27,13,6,3,12,20,69,24,56,0.429,21,37,0.568,3,19,0.158,13,20,0.65,11,24,35,9,8,2,15,24,64,1125201726,0
1768,robert-morris,200,23,53,0.434,12,23,0.522,11,30,0.367,21,30,0.7,13,19,32,11,3,2,15,22,78,24,47,0.511,19,33,0.576,5,14,0.357,11,20,0.55,9,21,30,11,4,2,22,28,64,1125201727,0
1769,arkansas-little-rock,200,24,47,0.511,19,33,0.576,5,14,0.357,11,20,0.55,9,21,30,11,4,2,22,28,64,23,53,0.434,12,23,0.522,11,30,0.367,21,30,0.7,13,19,32,11,3,2,15,22,78,1125201727,1
1770,florida-college,200,22,70,0.314,13,33,0.394,9,37,0.243,14,20,0.7,12,28,40,12,9,3,14,17,67,37,82,0.451,27,45,0.6,10,37,0.27,11,17,0.647,18,36,54,25,10,4,11,13,95,1125201728,1
1771,bethune-cookman,200,37,82,0.451,27,45,0.6,10,37,0.27,11,17,0.647,18,36,54,25,10,4,11,13,95,22,70,0.314,13,33,0.394,9,37,0.243,14,20,0.7,12,28,40,12,9,3,14,17,67,1125201728,0
1772,southern-illinois-edwardsville,200,24,62,0.387,20,42,0.476,4,20,0.2,14,21,0.667,4,22,26,8,6,2,10,20,66,35,60,0.583,23,32,0.719,12,28,0.429,21,27,0.778,7,32,39,27,8,2,11,14,103,1125201729,1
1773,creighton,200,35,60,0.583,23,32,0.719,12,28,0.429,21,27,0.778,7,32,39,27,8,2,11,14,103,24,62,0.387,20,42,0.476,4,20,0.2,14,21,0.667,4,22,26,8,6,2,10,20,66,1125201729,0
1774,georgian-court,200,15,42,0.357,7,22,0.318,8,20,0.4,17,21,0.81,10,27,37,11,3,1,18,19,55,23,61,0.377,15,33,0.455,8,28,0.286,14,23,0.609,15,16,31,16,12,3,6,18,68,1125201730,1
1775,delaware-state,200,23,61,0.377,15,33,0.455,8,28,0.286,14,23,0.609,15,16,31,16,12,3,6,18,68,15,42,0.357,7,22,0.318,8,20,0.4,17,21,0.81,10,27,37,11,3,1,18,19,55,1125201730,0
1776,ipfw,200,25,63,0.397,13,26,0.5,12,37,0.324,11,15,0.733,9,25,34,12,6,1,15,25,73,26,53,0.491,23,39,0.59,3,14,0.214,28,33,0.848,5,29,34,11,7,0,16,18,83,1125201731,1
